season,week,away,home,awayscore,homescore
2009,14,CAR,NE,--,--
2009,14,NO,ATL,--,--
2009,14,DET,BAL,--,--
2009,14,GB,CHI,--,--
2009,14,STL,TEN,--,--
2009,14,DEN,IND,--,--
2009,14,NYJ,TB,--,--
2009,14,CIN,MIN,--,--
2009,14,BUF,KC,--,--
2009,14,MIA,JAC,--,--
2009,14,SEA,HOU,--,--
2009,14,WAS,OAK,--,--
2009,14,SD,DAL,--,--
2009,14,PHI,NYG,--,--
2009,14,ARI,SF,--,--
2009,15,IND,JAC,--,--
2009,15,DAL,NO,--,--
2009,15,CHI,BAL,--,--
2009,15,NE,BUF,--,--
2009,15,ARI,DET,--,--
2009,15,CLE,KC,--,--
2009,15,SF,PHI,--,--
2009,15,HOU,STL,--,--
2009,15,MIA,TEN,--,--
2009,15,GB,PIT,--,--
2009,15,ATL,NYJ,--,--
2009,15,OAK,DEN,--,--
2009,15,CIN,SD,--,--
2009,15,TB,SEA,--,--
2009,15,MIN,CAR,--,--
2009,15,NYG,WAS,--,--
2009,16,SD,TEN,--,--
2009,16,JAC,NE,--,--
2009,16,CAR,NYG,--,--
2009,16,OAK,CLE,--,--
2009,16,SEA,GB,--,--
2009,16,TB,NO,--,--
2009,16,DEN,PHI,--,--
2009,16,BAL,PIT,--,--
2009,16,HOU,MIA,--,--
2009,16,KC,CIN,--,--
2009,16,BUF,ATL,--,--
2009,16,STL,ARI,--,--
2009,16,DET,SF,--,--
2009,16,NYJ,IND,--,--
2009,16,DAL,WAS,--,--
2009,16,MIN,CHI,--,--
2009,17,IND,BUF,--,--
2009,17,NO,CAR,--,--
2009,17,JAC,CLE,--,--
2009,17,PHI,DAL,--,--
2009,17,CHI,DET,--,--
2009,17,NE,HOU,--,--
2009,17,PIT,MIA,--,--
2009,17,NYG,MIN,--,--
2009,17,CIN,NYJ,--,--
2009,17,SF,STL,--,--
2009,17,ATL,TB,--,--
2009,17,GB,ARI,--,--
2009,17,KC,DEN,--,--
2009,17,BAL,OAK,--,--
2009,17,WAS,SD,--,--
2009,17,TEN,SEA,--,--
